Ticket purchase time,Phone Number,Ticket price,no of tickets,Type of tikcet
"Nov 19, 2022  20:53:23",7246720468,5,1,one way
"Nov 19, 2022  21:24:46",8814477342,10,1,one way
"Nov 19, 2022  21:28:22",8378371142,20,1,one way
"Nov 19, 2022  21:57:27",9760026420,20,1,one way
"Nov 19, 2022  22:08:07",8162874240,20,1,one way
"Nov 19, 2022  22:12:52",7247379411,5,1,one way
"Nov 20, 2022  01:33:01",8266850192,60,6,one way
"Nov 20, 2022  01:53:46",7727155754,5,1,one way
"Nov 20, 2022  02:00:40",7037100774,5,1,one way
"Nov 20, 2022  02:29:37",7742190874,60,6,one way
"Nov 20, 2022  02:34:57",9375164667,20,1,one way
"Nov 20, 2022  03:24:29",7635611921,10,1,one way
"Nov 20, 2022  03:26:04",7254449758,80,4,one way
"Nov 20, 2022  04:11:51",7239422193,108,3,return
"Nov 20, 2022  04:27:16",9315688097,5,1,one way
"Nov 20, 2022  04:37:29",8392341608,20,1,one way
"Nov 20, 2022  04:52:28",7669128471,108,3,return
"Nov 20, 2022  05:20:41",7529923050,90,5,return
"Nov 20, 2022  05:49:12",6592972627,5,1,one way
"Nov 20, 2022  05:49:12",7283719206,20,1,one way
"Nov 20, 2022  05:51:30",9702688988,10,1,one way
"Nov 20, 2022  06:14:24",7534294534,30,3,one way
"Nov 20, 2022  06:32:24",9682799974,20,1,one way
"Nov 20, 2022  06:47:48",8356486754,5,1,one way
"Nov 20, 2022  07:21:22",6568114323,108,3,return
"Nov 20, 2022  07:36:46",7373949939,20,1,one way
"Nov 20, 2022  08:01:58",7269175287,10,1,one way
"Nov 20, 2022  08:29:54",8482371438,60,6,one way
"Nov 20, 2022  09:06:03",9685690369,5,1,one way
"Nov 20, 2022  09:22:19",9732554900,20,1,one way
"Nov 20, 2022  09:23:11",8248978939,10,1,one way
"Nov 20, 2022  09:24:55",7571837648,5,1,one way
"Nov 20, 2022  09:40:36",8939759836,20,1,one way
"Nov 20, 2022  09:54:52",9137699486,20,1,one way
"Nov 20, 2022  10:24:49",9740696541,80,4,one way
"Nov 20, 2022  10:30:43",6700702259,10,1,one way
"Nov 20, 2022  11:19:49",7304122197,5,1,one way
"Nov 20, 2022  11:26:01",9000423530,5,1,one way
"Nov 20, 2022  11:42:26",6604936019,5,1,one way
"Nov 20, 2022  13:30:35",6700993504,5,1,one way
"Nov 20, 2022  13:34:45",7430267649,20,1,one way
"Nov 20, 2022  13:44:07",8013565740,10,1,one way
"Nov 20, 2022  13:55:29",7108501220,216,6,return
"Nov 20, 2022  13:56:12",9350179227,20,1,one way
"Nov 20, 2022  14:16:39",8052128292,5,1,one way
"Nov 20, 2022  16:08:59",7414999091,5,1,one way
"Nov 20, 2022  17:01:41",7854191328,5,1,one way
"Nov 20, 2022  18:07:21",6799763491,10,1,one way
"Nov 20, 2022  18:37:52",7887390581,10,1,one way
"Nov 20, 2022  18:48:06",7474316980,20,1,one way
"Nov 20, 2022  18:54:00",8824705654,10,2,one way
"Nov 20, 2022  21:01:52",9053298643,20,1,one way
"Nov 20, 2022  21:39:27",8748020524,20,1,one way
"Nov 20, 2022  21:52:42",8929234614,25,5,one way
"Nov 20, 2022  22:12:00",7088652252,36,2,return
"Nov 20, 2022  22:24:49",6646963842,10,1,one way
"Nov 20, 2022  22:46:25",9699224239,5,1,one way
"Nov 20, 2022  22:58:57",7237545636,30,3,one way
"Nov 21, 2022  01:05:05",9164735038,5,1,one way
"Nov 21, 2022  01:22:57",8463529264,5,1,one way
"Nov 21, 2022  03:24:20",8071601075,10,1,one way
"Nov 21, 2022  04:10:42",6932143866,9,1,return
"Nov 21, 2022  04:12:35",7587300466,5,1,one way
"Nov 21, 2022  04:27:16",9296844341,20,1,one way
"Nov 21, 2022  04:36:37",7451098127,5,1,one way
"Nov 21, 2022  04:44:50",6864031791,5,1,one way
"Nov 21, 2022  05:17:23",7155409547,5,1,one way
"Nov 21, 2022  05:32:21",9381498594,20,1,one way
"Nov 21, 2022  06:03:19",7845173143,10,1,one way
"Nov 21, 2022  06:25:29",7812548179,20,1,one way
"Nov 21, 2022  07:08:07",9346568347,10,2,one way
"Nov 21, 2022  07:20:12",8554889734,10,1,one way
"Nov 21, 2022  07:28:08",9150186350,20,1,one way
"Nov 21, 2022  07:31:52",8216607748,20,1,one way
"Nov 21, 2022  07:48:00",6684639291,36,4,return
"Nov 21, 2022  08:23:25",8363081938,60,6,one way
"Nov 21, 2022  08:31:21",6824984659,20,1,one way
"Nov 21, 2022  09:42:20",7696795575,10,1,one way
"Nov 21, 2022  11:28:36",7876475005,10,1,one way
"Nov 21, 2022  12:27:04",9812004287,5,1,one way
"Nov 21, 2022  13:23:40",9119818587,5,1,one way
"Nov 21, 2022  14:11:54",7257561964,9,1,return
"Nov 21, 2022  14:27:27",9834562373,10,1,one way
"Nov 21, 2022  15:36:43",7511774727,20,1,one way
"Nov 21, 2022  15:42:12",7693635969,5,1,one way
"Nov 21, 2022  15:46:22",9573503919,10,1,one way
"Nov 21, 2022  16:06:40",7640239361,216,6,return
"Nov 21, 2022  16:29:08",8658467922,60,6,one way
"Nov 21, 2022  17:21:33",8312164581,20,1,one way
"Nov 21, 2022  17:43:26",8083829719,5,1,one way
"Nov 21, 2022  17:55:41",6756617546,5,1,one way
"Nov 21, 2022  18:28:39",7870029710,90,5,return
"Nov 21, 2022  18:43:03",8601823222,20,1,one way
"Nov 21, 2022  19:35:20",9435367867,10,1,one way
"Nov 21, 2022  20:05:51",9122228891,25,5,one way
"Nov 21, 2022  20:35:23",6633925936,10,1,one way
"Nov 21, 2022  20:51:30",7039270052,5,1,one way
"Nov 21, 2022  20:56:24",9177033897,36,2,return
"Nov 21, 2022  21:03:45",6754776822,10,2,one way
"Nov 21, 2022  21:20:01",7516067480,10,2,one way
"Nov 21, 2022  21:39:53",9438899696,10,1,one way
"Nov 21, 2022  22:28:25",8868450556,216,6,return
"Nov 21, 2022  22:41:14",8259973965,10,1,one way
"Nov 22, 2022  01:12:09",9482710720,10,1,one way
"Nov 22, 2022  01:19:03",6860377885,20,1,one way
"Nov 22, 2022  01:29:34",9644970290,30,3,one way
"Nov 22, 2022  03:22:02",8519168076,5,1,one way
"Nov 22, 2022  03:42:03",8031231189,20,1,one way
"Nov 22, 2022  03:43:55",9426327064,216,6,return
"Nov 22, 2022  03:50:24",8825043915,20,1,one way
"Nov 22, 2022  04:25:41",7769080523,20,1,one way
"Nov 22, 2022  04:28:25",9804459067,10,1,one way
"Nov 22, 2022  05:09:01",7223937176,36,2,return
"Nov 22, 2022  05:25:44",6909985527,10,1,one way
"Nov 22, 2022  05:53:48",7186988248,20,1,one way
"Nov 22, 2022  06:32:24",6964972755,25,5,one way
"Nov 22, 2022  06:35:51",9355111730,10,1,one way
"Nov 22, 2022  07:15:27",8355251187,80,4,one way
"Nov 22, 2022  07:42:58",7088411954,36,2,return
"Nov 22, 2022  07:52:02",8016259510,108,3,return
"Nov 22, 2022  08:08:01",8764635121,20,1,one way
"Nov 22, 2022  08:10:54",6975459259,20,1,one way
"Nov 22, 2022  09:19:52",6766574257,5,1,one way
"Nov 22, 2022  09:22:28",6719621431,9,1,return
"Nov 22, 2022  09:28:48",7769416233,30,3,one way
"Nov 22, 2022  10:01:12",6789142022,20,1,one way
"Nov 22, 2022  10:02:21",6959543915,10,1,one way
"Nov 22, 2022  11:31:55",7300223093,10,1,one way
"Nov 22, 2022  12:06:03",9735626026,10,1,one way
"Nov 22, 2022  12:06:29",6850738086,10,1,one way
"Nov 22, 2022  12:39:45",7572346653,10,1,one way
"Nov 22, 2022  13:03:04",6597726031,20,1,one way
"Nov 22, 2022  13:11:17",7445884161,5,1,one way
"Nov 22, 2022  13:16:45",9333961480,5,1,one way
"Nov 22, 2022  14:05:51",9319628941,20,1,one way
"Nov 22, 2022  14:07:18",7093214129,5,1,one way
"Nov 22, 2022  14:27:45",9458230491,10,1,one way
"Nov 22, 2022  14:53:05",8338418361,20,1,one way
"Nov 22, 2022  14:57:59",8983156179,10,2,one way
"Nov 22, 2022  15:11:57",7888129898,5,1,one way
"Nov 22, 2022  15:29:31",8633540641,20,1,one way
"Nov 22, 2022  15:49:15",8538531224,10,1,one way
"Nov 22, 2022  16:15:36",9100786045,5,1,one way
"Nov 22, 2022  17:04:25",8231242420,5,1,one way
"Nov 22, 2022  17:44:44",9433625337,20,1,one way
"Nov 22, 2022  17:52:13",6904710051,10,1,one way
"Nov 22, 2022  18:43:21",7693501502,60,6,one way
"Nov 22, 2022  21:49:32",9773278644,80,4,one way
"Nov 22, 2022  22:28:25",8118485922,10,1,one way
"Nov 22, 2022  22:31:18",8916489206,36,4,return
"Nov 22, 2022  22:49:18",7993820529,5,1,one way
"Nov 23, 2022  01:01:47",7004739587,5,1,one way
"Nov 23, 2022  02:19:41",9338781610,5,1,one way
"Nov 23, 2022  02:22:16",8014148542,25,5,one way
"Nov 23, 2022  02:51:56",8717035910,5,1,one way
"Nov 23, 2022  03:05:37",6611189608,20,1,one way
"Nov 23, 2022  03:49:41",9237388982,5,1,one way
"Nov 23, 2022  04:08:59",7347676321,5,1,one way
"Nov 23, 2022  04:27:42",7803933130,5,1,one way
"Nov 23, 2022  05:42:26",8879237408,10,1,one way
"Nov 23, 2022  06:02:36",6813453140,10,1,one way
"Nov 23, 2022  06:08:04",7241864158,20,1,one way
"Nov 23, 2022  06:11:48",9831085493,10,1,one way
"Nov 23, 2022  06:57:45",7040446916,10,1,one way
"Nov 23, 2022  07:11:17",7531600670,5,1,one way
"Nov 23, 2022  07:18:55",7182289199,5,1,one way
"Nov 23, 2022  08:00:06",7137705266,5,1,one way
"Nov 23, 2022  08:50:21",8934221733,108,3,return
"Nov 23, 2022  10:10:34",8479102077,36,2,return
"Nov 23, 2022  10:26:15",7649681647,20,1,one way
"Nov 23, 2022  10:45:33",8187551270,30,3,one way
"Nov 23, 2022  10:57:56",7781887107,20,1,one way
"Nov 23, 2022  11:11:37",8215253864,5,1,one way
"Nov 23, 2022  11:16:39",9682561687,10,1,one way
"Nov 23, 2022  11:39:07",7952465713,10,1,one way
"Nov 23, 2022  11:39:59",9650748813,36,2,return
"Nov 23, 2022  12:16:42",9377252944,5,1,one way
"Nov 23, 2022  12:18:09",6755867166,10,1,one way
"Nov 23, 2022  12:43:12",9140298181,20,1,one way
"Nov 23, 2022  13:18:55",8636582679,5,1,one way
"Nov 23, 2022  13:34:54",9747579607,5,1,one way
"Nov 23, 2022  14:11:46",8353249948,20,1,one way
"Nov 23, 2022  14:31:29",7166307440,216,6,return
"Nov 23, 2022  14:42:52",7405350560,10,1,one way
"Nov 23, 2022  16:00:12",7825860182,10,1,one way
"Nov 23, 2022  16:19:55",6983435644,20,1,one way
"Nov 23, 2022  17:00:14",7511095942,5,1,one way
"Nov 23, 2022  17:00:23",8535909621,10,1,one way
"Nov 23, 2022  17:46:28",7060375850,20,1,one way
"Nov 23, 2022  17:55:15",9194067693,10,1,one way
"Nov 23, 2022  18:38:36",9313670682,216,6,return
"Nov 23, 2022  19:25:49",9622865260,20,1,one way
"Nov 23, 2022  20:42:17",7470592004,10,1,one way
"Nov 23, 2022  20:50:12",8266165638,10,1,one way
"Nov 23, 2022  21:30:58",8715447930,20,1,one way
"Nov 23, 2022  21:51:33",9724140802,5,1,one way
"Nov 23, 2022  22:19:12",7546359152,5,1,one way
"Nov 23, 2022  22:24:49",7414492136,20,1,one way
"Nov 23, 2022  22:44:41",7666214626,20,1,one way
"Nov 24, 2022  01:38:12",8328019042,9,1,return
"Nov 24, 2022  02:33:22",8820182798,25,5,one way
"Nov 24, 2022  03:04:36",9292933326,10,1,one way
"Nov 24, 2022  03:19:09",9635221368,10,1,one way
"Nov 24, 2022  03:25:47",7138427397,10,1,one way
"Nov 24, 2022  03:50:59",8649964426,10,1,one way
"Nov 24, 2022  04:01:21",8898743360,20,1,one way
"Nov 24, 2022  04:08:41",8468331954,216,6,return
"Nov 24, 2022  04:10:51",8700139633,36,2,return
"Nov 24, 2022  04:20:47",8546340182,10,2,one way
"Nov 24, 2022  04:23:05",7218109760,10,1,one way
"Nov 24, 2022  04:27:33",8083692820,10,1,one way
"Nov 24, 2022  04:49:09",7346709638,20,1,one way
"Nov 24, 2022  05:08:36",6885877119,10,1,one way
"Nov 24, 2022  05:38:50",9319870717,5,1,one way
"Nov 24, 2022  06:32:50",8930522925,36,4,return
"Nov 24, 2022  07:08:33",7332650123,80,4,one way
"Nov 24, 2022  07:37:21",8011785206,9,1,return
"Nov 24, 2022  07:45:33",7400088280,25,5,one way
"Nov 24, 2022  08:04:34",8558314969,5,1,one way
"Nov 24, 2022  08:12:55",8150550162,36,2,return
"Nov 24, 2022  08:49:12",7916437954,216,6,return
"Nov 24, 2022  09:04:45",7147523094,10,1,one way
"Nov 24, 2022  09:14:50",9374602660,10,1,one way
"Nov 24, 2022  09:33:42",7933109351,30,3,one way
"Nov 24, 2022  09:42:20",7512418794,10,1,one way
"Nov 24, 2022  10:10:08",7987108394,10,1,one way
"Nov 24, 2022  11:00:40",7501230691,10,1,one way
"Nov 24, 2022  11:15:04",9065210490,10,1,one way
"Nov 24, 2022  11:15:56",8408689106,36,2,return
"Nov 24, 2022  11:19:32",6568233715,5,1,one way
"Nov 24, 2022  11:52:48",8487243141,20,1,one way
"Nov 24, 2022  12:27:56",8621384600,10,1,one way
"Nov 24, 2022  12:36:00",7852401583,5,1,one way
"Nov 24, 2022  13:05:31",8919249457,20,1,one way
"Nov 24, 2022  13:29:08",8206173563,20,1,one way
"Nov 24, 2022  13:49:52",9680122546,5,1,one way
"Nov 24, 2022  14:41:08",7179614275,10,1,one way
"Nov 24, 2022  14:43:52",7939317016,36,2,return
"Nov 24, 2022  15:06:46",7598482648,20,1,one way
"Nov 24, 2022  16:28:51",7183680404,20,1,one way
"Nov 24, 2022  16:30:52",7889408219,10,1,one way
"Nov 24, 2022  16:32:10",7608354770,5,1,one way
"Nov 24, 2022  16:34:45",9510470103,10,1,one way
"Nov 24, 2022  17:14:21",7966362722,5,1,one way
"Nov 24, 2022  17:23:00",6722050270,20,1,one way
"Nov 24, 2022  18:12:40",8912396066,20,1,one way
"Nov 24, 2022  18:55:44",8497371154,60,6,one way
"Nov 24, 2022  20:45:53",8883189378,20,1,one way
"Nov 24, 2022  21:45:13",8471010381,10,1,one way
"Nov 24, 2022  22:05:40",8650622935,5,1,one way
"Nov 24, 2022  22:32:01",8398100252,30,3,one way
"Nov 25, 2022  01:10:42",8944788359,20,1,one way
"Nov 25, 2022  01:32:36",7500410067,36,2,return
"Nov 25, 2022  01:32:44",9683880786,5,1,one way
"Nov 25, 2022  01:42:06",9740831059,10,1,one way
"Nov 25, 2022  01:50:18",7266345921,10,1,one way
"Nov 25, 2022  02:09:45",9616094721,20,1,one way
"Nov 25, 2022  02:11:11",7899810422,10,1,one way
"Nov 25, 2022  02:41:08",8557344187,5,1,one way
"Nov 25, 2022  03:10:48",7393667563,36,4,return
"Nov 25, 2022  03:51:07",8368143567,36,4,return
"Nov 25, 2022  04:01:29",8232802535,5,1,one way
"Nov 25, 2022  05:00:49",6676709138,20,1,one way
"Nov 25, 2022  05:04:25",8617902339,36,4,return
"Nov 25, 2022  05:15:30",9232758331,20,1,one way
"Nov 25, 2022  06:02:53",9787902444,20,1,one way
"Nov 25, 2022  06:15:59",8525283839,60,6,one way
"Nov 25, 2022  06:23:20",9585763552,5,1,one way
"Nov 25, 2022  06:52:51",8205073933,36,4,return
"Nov 25, 2022  07:09:50",7913688961,20,1,one way
"Nov 25, 2022  07:18:12",7368059322,5,1,one way
"Nov 25, 2022  07:46:08",8631900514,25,5,one way
"Nov 25, 2022  08:43:09",7650951651,20,1,one way
"Nov 25, 2022  08:44:53",6894755222,20,1,one way
"Nov 25, 2022  09:18:17",7098298126,10,1,one way
"Nov 25, 2022  09:19:09",9649251507,20,1,one way
"Nov 25, 2022  09:32:59",9035295261,10,1,one way
"Nov 25, 2022  09:41:46",7412947727,5,1,one way
"Nov 25, 2022  09:46:22",8295485944,5,1,one way
"Nov 25, 2022  10:29:00",7760324703,10,1,one way
"Nov 25, 2022  11:15:22",8322304725,20,1,one way
"Nov 25, 2022  11:27:53",9354443577,216,6,return
"Nov 25, 2022  11:32:21",8067570825,10,1,one way
"Nov 25, 2022  11:46:02",9418701766,9,1,return
"Nov 25, 2022  11:54:40",7749614922,20,1,one way
"Nov 25, 2022  12:07:21",7859437352,10,1,one way
"Nov 25, 2022  12:20:53",7996724437,216,6,return
"Nov 25, 2022  13:25:58",6570518353,5,1,one way
"Nov 25, 2022  13:39:30",7234902629,5,1,one way
"Nov 25, 2022  13:40:05",7016637781,20,1,one way
"Nov 25, 2022  14:00:49",6605313221,5,1,one way
"Nov 25, 2022  14:08:01",7941208798,5,1,one way
"Nov 25, 2022  14:20:33",8241139079,20,1,one way
"Nov 25, 2022  14:52:48",7704934820,5,1,one way
"Nov 25, 2022  14:55:41",6644411699,20,1,one way
"Nov 25, 2022  16:51:45",6748415042,10,1,one way
"Nov 25, 2022  17:00:06",9609870291,10,1,one way
"Nov 25, 2022  17:05:17",8319213702,5,1,one way
"Nov 25, 2022  17:37:32",9734995920,5,1,one way
"Nov 25, 2022  17:58:25",7894385489,10,1,one way
"Nov 25, 2022  18:48:32",6946155316,10,1,one way
"Nov 25, 2022  18:50:15",9415716563,20,1,one way
"Nov 25, 2022  18:50:33",8457210054,5,1,one way
"Nov 25, 2022  19:47:43",7999523302,90,5,return
"Nov 25, 2022  20:27:01",8367519639,216,6,return
"Nov 25, 2022  21:29:23",7365929218,5,1,one way
"Nov 25, 2022  21:34:51",9678144501,216,6,return
"Nov 25, 2022  21:37:44",9105001285,20,1,one way
"Nov 25, 2022  21:42:37",8138640264,5,1,one way
"Nov 25, 2022  22:14:01",7021706159,10,2,one way
"Nov 25, 2022  22:15:45",9299177264,20,1,one way
"Nov 25, 2022  22:22:13",8699134284,5,1,one way
"Nov 25, 2022  22:36:29",6746473438,10,2,one way
"Nov 26, 2022  02:06:35",7038330690,9,1,return
"Nov 26, 2022  02:21:42",7804981294,20,1,one way
"Nov 26, 2022  02:28:02",7603031830,10,1,one way
"Nov 26, 2022  03:40:54",9211378818,5,1,one way
"Nov 26, 2022  03:57:36",9774182342,20,1,one way
"Nov 26, 2022  05:06:35",7386547901,10,1,one way
"Nov 26, 2022  06:29:31",9049826159,20,1,one way
"Nov 26, 2022  06:56:44",9697558867,20,1,one way
"Nov 26, 2022  07:20:47",9093615247,9,1,return
"Nov 26, 2022  07:34:11",6964522281,108,3,return
"Nov 26, 2022  07:47:08",7360829378,20,1,one way
"Nov 26, 2022  08:11:54",6672337632,36,2,return
"Nov 26, 2022  08:28:36",9370047438,5,1,one way
"Nov 26, 2022  08:34:22",9745407709,5,1,one way
"Nov 26, 2022  08:38:41",7568143973,10,1,one way
"Nov 26, 2022  08:50:38",8310032614,10,1,one way
"Nov 26, 2022  09:02:01",9035470577,20,1,one way
"Nov 26, 2022  09:04:54",7789083902,5,1,one way
"Nov 26, 2022  10:49:35",9524409776,10,1,one way
"Nov 26, 2022  11:37:49",8596472857,5,1,one way
"Nov 26, 2022  12:37:35",9138101983,5,1,one way
"Nov 26, 2022  12:55:18",9425519755,36,2,return
"Nov 26, 2022  14:00:06",8235865959,216,6,return
"Nov 26, 2022  14:04:16",8657025812,60,6,one way
"Nov 26, 2022  14:07:44",7780754027,20,1,one way
"Nov 26, 2022  14:46:28",9177421689,60,6,one way
"Nov 26, 2022  15:01:00",8698118455,9,1,return
"Nov 26, 2022  15:28:05",9645186917,36,2,return
"Nov 26, 2022  16:22:05",6825589329,5,1,one way
"Nov 26, 2022  16:24:23",9125209732,20,1,one way
"Nov 26, 2022  16:29:43",8743969797,5,1,one way
"Nov 26, 2022  16:59:40",7108227841,80,4,one way
"Nov 26, 2022  18:10:57",8221770165,10,1,one way
"Nov 26, 2022  19:13:35",6765702557,25,5,one way
"Nov 26, 2022  19:40:22",8375121467,20,1,one way
"Nov 26, 2022  19:52:11",9591627305,5,1,one way
"Nov 26, 2022  20:24:35",8321427575,5,1,one way
"Nov 26, 2022  20:41:25",9322217503,10,1,one way
"Nov 26, 2022  20:43:09",9214927568,5,1,one way
"Nov 26, 2022  21:04:02",8834607229,25,5,one way
"Nov 26, 2022  21:10:22",7486636477,10,1,one way
"Nov 26, 2022  21:35:00",7450382733,10,1,one way
"Nov 26, 2022  21:47:48",9513156598,90,5,return
"Nov 26, 2022  21:57:36",8538051363,108,3,return
"Nov 26, 2022  22:15:19",8322275246,36,4,return
"Nov 26, 2022  22:21:30",8031880619,5,1,one way
"Nov 26, 2022  22:40:31",9061767133,5,1,one way
"Nov 27, 2022  02:28:02",6553058374,60,6,one way
"Nov 27, 2022  02:42:43",8748086907,20,1,one way
"Nov 27, 2022  03:11:31",7067733385,216,6,return
"Nov 27, 2022  03:49:06",9384362012,60,6,one way
"Nov 27, 2022  03:53:08",7214587418,216,6,return
"Nov 27, 2022  03:55:44",8250456714,20,1,one way
"Nov 27, 2022  04:42:49",9822799739,5,1,one way
"Nov 27, 2022  05:30:29",8555589904,30,3,one way
"Nov 27, 2022  06:10:39",9093083915,36,4,return
"Nov 27, 2022  07:04:13",8986594279,10,2,one way
"Nov 27, 2022  07:35:02",8093779619,36,2,return
"Nov 27, 2022  07:49:09",8030240870,5,1,one way
"Nov 27, 2022  07:51:01",9562127742,10,1,one way
"Nov 27, 2022  08:15:56",9381998807,5,1,one way
"Nov 27, 2022  08:17:48",9371282157,10,1,one way
"Nov 27, 2022  11:09:10",8656161403,10,1,one way
"Nov 27, 2022  12:10:05",6550518868,5,1,one way
"Nov 27, 2022  12:54:17",7644924208,10,1,one way
"Nov 27, 2022  13:18:12",7858968186,10,1,one way
"Nov 27, 2022  13:21:39",8441100878,10,2,one way
"Nov 27, 2022  13:43:32",9248629284,20,1,one way
"Nov 27, 2022  14:25:35",7357358882,10,1,one way
"Nov 27, 2022  14:33:56",7530335551,90,5,return
"Nov 27, 2022  15:05:20",8578106857,20,1,one way
"Nov 27, 2022  15:19:00",8108265336,10,1,one way
"Nov 27, 2022  15:20:44",7287861117,10,1,one way
"Nov 27, 2022  15:41:02",6604375267,10,1,one way
"Nov 27, 2022  16:15:53",9315986412,5,1,one way
"Nov 27, 2022  17:14:38",8704103960,9,1,return
"Nov 27, 2022  17:30:46",7003939186,10,2,one way
"Nov 27, 2022  17:40:16",7940134608,20,1,one way
"Nov 27, 2022  18:01:35",7700385509,5,1,one way
"Nov 27, 2022  18:15:07",7678103261,5,1,one way
"Nov 27, 2022  18:45:22",8988952967,10,1,one way
"Nov 27, 2022  18:45:56",7260788679,90,5,return
"Nov 27, 2022  18:47:57",8452303818,20,1,one way
"Nov 27, 2022  19:15:36",8397948510,10,1,one way
"Nov 27, 2022  19:16:45",9018565298,5,1,one way
"Nov 27, 2022  19:19:21",9279210513,30,3,one way
"Nov 27, 2022  19:50:27",8722165879,20,1,one way
"Nov 27, 2022  19:55:38",6978267229,5,1,one way
"Nov 27, 2022  20:08:36",7653101749,30,3,one way
"Nov 27, 2022  20:14:47",7590905814,10,1,one way
"Nov 27, 2022  20:35:23",7586308376,20,1,one way
"Nov 27, 2022  21:04:19",6657592145,5,1,one way
"Nov 27, 2022  21:24:55",7099803838,5,1,one way
"Nov 27, 2022  21:57:36",7034085362,10,1,one way
"Nov 27, 2022  22:36:37",7858894652,80,4,one way
"Nov 27, 2022  22:47:25",9386614652,25,5,one way
"Nov 27, 2022  22:50:44",9455317364,5,1,one way
"Nov 27, 2022  22:56:38",7151590225,20,1,one way
"Nov 28, 2022  01:41:23",7459349711,5,1,one way
"Nov 28, 2022  01:59:05",8393535938,5,1,one way
"Nov 28, 2022  02:17:40",6575262460,20,1,one way
"Nov 28, 2022  03:33:59",6657216334,20,1,one way
"Nov 28, 2022  03:45:39",7094733224,20,1,one way
"Nov 28, 2022  04:09:33",7841016237,20,1,one way
"Nov 28, 2022  05:07:09",7069452769,36,4,return
"Nov 28, 2022  05:12:12",6772040170,5,1,one way
"Nov 28, 2022  07:10:16",8700432115,5,1,one way
"Nov 28, 2022  07:47:51",7707099258,10,1,one way
"Nov 28, 2022  08:41:25",9323401123,20,1,one way
"Nov 28, 2022  09:17:08",9655780843,5,1,one way
"Nov 28, 2022  09:48:58",7794814765,5,1,one way
"Nov 28, 2022  10:23:14",7792659156,20,1,one way
"Nov 28, 2022  10:49:52",6711306966,20,1,one way
"Nov 28, 2022  12:17:08",9722390219,10,1,one way
"Nov 28, 2022  12:36:00",7832465044,5,1,one way
"Nov 28, 2022  13:00:03",8468600212,10,1,one way
"Nov 28, 2022  13:03:39",7108675299,5,1,one way
"Nov 28, 2022  13:06:32",9036689724,20,1,one way
"Nov 28, 2022  13:38:38",8496661294,20,1,one way
"Nov 28, 2022  14:20:33",9009904471,5,1,one way
"Nov 28, 2022  14:20:59",7230399670,20,1,one way
"Nov 28, 2022  14:30:55",8153565186,108,3,return
"Nov 28, 2022  15:12:06",7338656473,20,1,one way
"Nov 28, 2022  16:04:57",9467685091,20,1,one way
"Nov 28, 2022  16:46:08",7306192990,20,1,one way
"Nov 28, 2022  16:49:52",9793465988,20,1,one way
"Nov 28, 2022  16:50:53",7083743162,5,1,one way
"Nov 28, 2022  16:53:46",7346730476,10,1,one way
"Nov 28, 2022  17:00:23",8635088661,20,1,one way
"Nov 28, 2022  17:06:09",7861943600,20,1,one way
"Nov 28, 2022  17:47:28",8246196021,10,1,one way
"Nov 28, 2022  18:38:44",9075661357,10,1,one way
"Nov 28, 2022  19:14:27",8161449450,5,1,one way
"Nov 28, 2022  19:52:45",6642880755,10,1,one way
"Nov 28, 2022  20:03:24",7976535288,20,1,one way
"Nov 28, 2022  20:24:09",6549833269,5,1,one way
"Nov 28, 2022  20:50:12",9420147532,36,2,return
"Nov 28, 2022  21:52:16",7993390706,10,1,one way
"Nov 28, 2022  21:53:43",7367436527,20,1,one way
"Nov 28, 2022  22:19:55",7215257430,90,5,return
"Nov 29, 2022  01:10:42",9671774415,5,1,one way
"Nov 29, 2022  01:16:19",9231510087,10,1,one way
"Nov 29, 2022  01:44:15",7831774835,5,1,one way
"Nov 29, 2022  02:08:01",7254529790,5,1,one way
"Nov 29, 2022  02:53:14",7790997754,5,1,one way
"Nov 29, 2022  03:00:26",7736719210,20,1,one way
"Nov 29, 2022  04:51:19",7460481293,20,1,one way
"Nov 29, 2022  05:17:31",9047257082,10,1,one way
"Nov 29, 2022  05:34:57",8982707192,5,1,one way
"Nov 29, 2022  05:59:08",7122624066,60,6,one way
"Nov 29, 2022  06:10:48",9793331573,20,1,one way
"Nov 29, 2022  06:17:43",7643479356,90,5,return
"Nov 29, 2022  06:23:11",7032191057,5,1,one way
"Nov 29, 2022  06:39:27",8335989493,5,1,one way
"Nov 29, 2022  07:31:26",8303953736,20,1,one way
"Nov 29, 2022  07:40:22",9260726140,216,6,return
"Nov 29, 2022  07:53:46",9120546912,5,1,one way
"Nov 29, 2022  08:11:46",9603090197,10,1,one way
"Nov 29, 2022  08:29:54",8479689580,108,3,return
"Nov 29, 2022  08:41:17",9806699435,10,1,one way
"Nov 29, 2022  09:06:55",8187346465,216,6,return
"Nov 29, 2022  09:48:40",8008532957,20,1,one way
"Nov 29, 2022  11:01:32",7449019194,9,1,return
"Nov 29, 2022  11:20:41",8797776945,10,2,one way
"Nov 29, 2022  11:29:28",8351907544,9,1,return
"Nov 29, 2022  12:11:31",7565319294,20,1,one way
"Nov 29, 2022  12:55:26",8978323029,10,1,one way
"Nov 29, 2022  13:41:14",9360979278,20,1,one way
"Nov 29, 2022  13:48:09",7479924393,20,1,one way
"Nov 29, 2022  13:48:52",8851805002,9,1,return
"Nov 29, 2022  14:10:45",8237203036,20,1,one way
